image_link,laptop_name,long_price
https://static.1k.by/images/products/ip/125/ppf/0/4168591/i759b4eb2f.jpg,ASUS,"1 990,00 - 2 681,00 б.р."
https://static.1k.by/images/products/ip/125/ppe/4/4217077/i983956f7c.jpeg,Lenovo,"732,00 - 1 880,00 б.р."
https://static.1k.by/images/products/ip/125/pp5/a/4217079/i992ff2a17.jpg,ASUS,"1 347,00 - 1 769,00 б.р."
https://static.1k.by/images/products/ip/125/pp3/a/3397103/i326bba681.jpg,Acer,"1 498,00 - 3 640,00 б.р."
https://static.1k.by/images/products/ip/125/pp7/c/4217081/i0bb0f45a1.jpeg,ASUS,"2 891,00 - 3 670,00 б.р."
https://static.1k.by/images/products/ip/125/pp5/4/4217083/i373bb17a7.jpg,ASUS,"2 589,00 - 2 687,00 б.р."
https://static.1k.by/images/products/ip/125/pp8/c/4217085/i60140253e.jpeg,ASUS,"976,00 - 1 730,00 б.р."
https://static.1k.by/images/products/ip/125/pp9/5/3811971/i129ae681b.jpg,Lenovo,"1 892,00 - 3 659,00 б.р."
https://static.1k.by/images/products/ip/125/ppd/4/3774845/ib2ccea8e6.jpg,ASUS,"1 665,00 - 2 530,00 б.р."
https://static.1k.by/images/products/ip/125/ppb/d/3775415/iccaa5934c.jpg,Lenovo,"1 544,00 - 2 925,00 б.р."
https://static.1k.by/images/products/ip/125/ppd/d/3396987/i9c239753b.jpg,Lenovo,"819,00 - 1 730,00 б.р."
https://static.1k.by/images/products/ip/125/pp2/7/4217087/i4c6c59278.jpg,ASUS,"835,00 - 1 447,00 б.р."
https://static.1k.by/images/products/ip/125/pp3/a/3811949/if2b90720f.jpg,Lenovo,"680,00 - 1 195,00 б.р."
https://static.1k.by/images/products/ip/125/ppc/f/3937881/ia2e2b9828.jpg,Acer,"1 385,00 - 2 201,00 б.р."
https://static.1k.by/images/products/ip/125/pp4/7/2936383/ic06910257.jpg,ASUS,"1 170,00 - 1 577,00 б.р."
https://static.1k.by/images/products/ip/125/pp6/0/3470203/ib2dceee3a.jpg,ASUS,"1 752,00 - 2 779,00 б.р."
https://static.1k.by/images/products/ip/125/ppb/1/4217089/id221fdc4d.jpg,ASUS,"1 876,00 - 2 738,00 б.р."
https://static.1k.by/images/products/ip/125/pp4/3/4217091/i2b879c34e.jpg,HP,"1 407,00 - 2 916,00 б.р."
https://static.1k.by/images/products/ip/125/pp8/b/3727179/ib6d4fad35.jpg,ASUS,"1 743,00 - 2 950,00 б.р."
https://static.1k.by/images/products/ip/125/ppc/5/4217093/ibad5bbed5.jpeg,ASUS,"3 110,00 б.р."
https://static.1k.by/images/products/ip/125/pp0/d/4030275/i88d74f62a.jpg,ASUS,"2 200,00 - 3 135,00 б.р."
https://static.1k.by/images/products/ip/125/pp9/c/3470215/i5fe59294d.png,HP,"604,00 - 1 895,00 б.р."
https://static.1k.by/images/products/ip/125/pp1/c/3914455/i4507b8080.jpg,Acer,"727,00 - 2 087,00 б.р."
https://static.1k.by/images/products/ip/125/pp5/6/4217095/i5a9eb94f2.jpeg,Lenovo,"1 404,00 - 2 534,00 б.р."
https://static.1k.by/images/products/ip/125/pp0/d/3727187/i57cf1f011.jpg,ASUS,"959,00 - 1 218,00 б.р."
https://static.1k.by/images/products/ip/125/pp2/d/4041567/ib9a4aea06.jpg,Lenovo,"600,00 - 1 068,00 б.р."
https://static.1k.by/images/products/ip/125/ppd/2/4156309/i64a641a51.jpg,Acer,"1 680,00 - 1 937,20 б.р."
https://static.1k.by/images/products/ip/125/ppe/1/3981691/i8f778797e.png,ASUS,"1 252,00 - 1 627,10 б.р."
https://static.1k.by/images/products/ip/125/ppb/3/4044885/i1184c8d3a.jpg,ASUS,"2 037,00 - 2 411,44 б.р."
https://static.1k.by/images/products/ip/125/pp2/e/4146181/i6a9d5fbaa.jpg,ASUS,"2 058,00 - 2 277,99 б.р."
https://static.1k.by/images/products/ip/125/pp6/e/4030245/i041234db7.jpg,HP,"1 928,00 - 3 711,12 б.р."
https://static.1k.by/images/products/ip/125/pp5/b/3899879/i0ff374b84.png,HP,"799,00 - 969,83 б.р."
https://static.1k.by/images/products/ip/125/pp2/0/3775525/i2b64e6cf5.jpg,Lenovo,"1 714,00 - 3 146,00 б.р."
https://static.1k.by/images/products/ip/125/ppb/8/4030311/ib20eb14b3.jpg,Acer,"2 008,00 - 3 895,00 б.р."
https://static.1k.by/images/products/ip/125/pp5/0/4144783/ic6e5baa8c.jpg,Lenovo,"1 275,00 - 1 431,00 б.р."
https://static.1k.by/images/products/ip/125/ppd/f/3470121/icf368eded.jpg,HP,"1 204,00 - 1 934,00 б.р."
https://static.1k.by/images/products/ip/125/pp1/b/4100417/i0fbda4250.jpeg,ASUS,"2 015,00 - 2 480,40 б.р."
https://static.1k.by/images/products/ip/125/pp9/4/4049613/ia63d82208.jpg,MSI,"3 110,00 - 4 503,55 б.р."
https://static.1k.by/images/products/ip/125/pp9/d/3850429/if5ce5e4ea.jpg,MSI,"2 611,00 - 3 189,00 б.р."
https://static.1k.by/images/products/ip/125/pp4/f/4030255/i97f5c4f77.jpg,MSI,"1 765,00 - 2 466,00 б.р."
https://static.1k.by/images/products/ip/125/pp4/7/4146911/i795224c03.jpeg,ASUS,"2 027,00 - 2 142,99 б.р."
https://static.1k.by/images/products/ip/125/ppc/9/4047697/i826a03547.jpg,Huawei,"1 511,00 - 1 860,71 б.р."
https://static.1k.by/images/products/ip/125/pp0/7/2936279/i1212a8f0b.png,Lenovo,"886,00 - 1 337,00 б.р."
https://static.1k.by/images/products/ip/125/pp1/1/4030243/i0816f7da3.jpg,Apple,"6 200,00 - 7 480,00 б.р."
https://static.1k.by/images/products/ip/125/pp9/3/4135385/i115793d54.jpg,HP,"1 772,00 - 2 231,30 б.р."
https://static.1k.by/images/products/ip/125/ppd/6/3856693/i52c6590e4.jpg,Dell,"1 984,92 - 3 276,63 б.р."
https://static.1k.by/images/products/ip/125/ppc/4/4037609/id852192cf.jpg,Lenovo,"1 642,00 - 2 054,45 б.р."
https://static.1k.by/images/products/ip/125/pp9/2/3726953/ic607bc071.jpg,HP,"655,00 - 1 629,00 б.р."
https://static.1k.by/images/products/ip/125/pp3/2/3726765/i20d23e0c9.jpg,HP,"635,00 - 2 507,00 б.р."
https://static.1k.by/images/products/ip/125/pp1/e/3959355/i87437585b.jpg,Lenovo,"758,00 - 1 581,00 б.р."
https://static.1k.by/images/products/ip/125/pp3/e/3961531/i17327f3e2.jpg,ASUS,"3 184,00 - 3 811,62 б.р."
https://static.1k.by/images/products/ip/125/pp7/7/4131379/i60965bc54.jpg,Lenovo,"2 749,00 - 4 039,90 б.р."
https://static.1k.by/images/products/ip/125/pp5/9/3927315/i4c5557aa1.jpg,Lenovo,"2 156,00 - 2 814,90 б.р."
https://static.1k.by/images/products/ip/125/pp6/a/3470373/if8f03de19.jpg,Lenovo,"604,00 - 2 114,00 б.р."
https://static.1k.by/images/products/ip/125/pp5/9/4049705/if3d62e4d7.jpg,HP,"2 050,00 - 2 536,10 б.р."
https://static.1k.by/images/products/ip/125/pp4/c/4041419/i12c55ad32.jpg,HP,"1 119,00 - 2 377,00 б.р."
https://static.1k.by/images/products/ip/125/ppa/a/3470401/i49a92dffd.jpg,Lenovo,"1 113,00 - 1 963,00 б.р."
https://static.1k.by/images/products/ip/125/ppe/e/3873977/i0be74b3e7.png,Acer,"713,00 - 887,80 б.р."
https://static.1k.by/images/products/ip/125/ppd/e/3895273/ic23ca9acb.jpg,HP,"1 906,00 - 2 194,32 б.р."
https://static.1k.by/images/products/ip/125/pp1/3/3338401/ie045ad941.jpg,Lenovo,"914,00 - 1 727,00 б.р."
https://static.1k.by/images/products/ip/125/ppa/6/3776621/i7539cd950.jpg,HP,"1 765,00 - 2 114,70 б.р."
https://static.1k.by/images/products/ip/125/pp8/0/3951469/i8727e7fc2.jpg,ASUS,"2 739,00 - 3 299,86 б.р."
https://static.1k.by/images/products/ip/125/pp2/b/3775431/i3598ca86b.jpg,Lenovo,"1 175,00 - 1 930,00 б.р."
https://static.1k.by/images/products/ip/125/pp6/9/4066569/i9c95319a2.jpg,HP,"997,00 - 1 346,20 б.р."
https://static.1k.by/images/products/ip/125/pp3/2/3344965/i05c493877.jpg,Acer,"983,00 - 1 559,00 б.р."
https://static.1k.by/images/products/ip/125/ppa/8/3470201/i391c45104.jpg,HP,"1 949,00 - 5 321,00 б.р."
https://static.1k.by/images/products/ip/125/ppc/8/3969157/ida84809e4.jpg,ASUS,"897,32 - 1 020,80 б.р."
https://static.1k.by/images/products/ip/125/pp5/a/4016205/i1bb73c22a.jpg,Lenovo,"1 030,00 - 1 346,20 б.р."
https://static.1k.by/images/products/ip/125/pp3/b/4100411/i0989172e4.jpg,HP,"638,00 - 795,00 б.р."
https://static.1k.by/images/products/ip/125/pp9/5/4143957/ia2ff15614.jpeg,ASUS,"1 659,00 - 1 868,90 б.р."
https://static.1k.by/images/products/ip/125/pp7/9/2707791/ia9f6f1f18.jpg,HP,"1 283,00 - 2 796,00 б.р."
https://static.1k.by/images/products/ip/125/ppd/d/3951693/ibe1550f67.jpg,Lenovo,"1 531,00 - 1 939,43 б.р."
https://static.1k.by/images/products/ip/125/ppa/9/4049921/ib23e59c06.png,HP,"769,00 - 991,10 б.р."
